clt_id,clt_tax_nb,clt_emp_1,clt_emp_2,clt_emp_3
1390,4,176347,,13341
870,4,,221318,38298
251,10,160820,,21471
1187,1,,78867,6544
141,8,196112,,
405,6,58262,,15044
1287,10,125429,,
836,6,142247,,
1479,7,19095,,31052
602,1,161149,,
1051,8,113899,,
11,5,112421,,36348
1500,1,,292913,
388,1,99165,,
665,12,47998,,
1343,9,45078,,
982,3,194022,,
67,1,175307,,
1028,2,131616,,
663,9,155454,,
613,12,,130658,
760,9,,180551,42650
403,8,140808,,8417
146,7,191422,,5004
1538,1,98565,,
282,12,,85193,
438,2,17317,,
665,3,66357,,
561,12,189506,,
1210,11,158449,,24184
848,2,137042,,
1141,12,18385,,15498
1065,7,187381,,
1483,8,189522,,
1271,3,134989,,
1316,4,86666,,
1216,1,,296211,14279
1561,5,,50709,
1607,1,86106,,18427
326,5,48626,,
677,10,178514,,34634
1570,7,136670,,36848
951,12,,232474,6439
938,7,,171798,
488,9,72278,,
1338,7,,229975,
1171,4,196050,,
1392,5,53196,,36033
1411,4,,,
1358,1,106486,,
812,10,163154,,
358,1,63057,,
1350,10,,89510,25843
352,4,167480,,
456,10,169184,,26434
1375,1,194374,,
236,5,127477,,11551
1563,1,110802,,
1128,8,,293064,43185
664,6,71354,,7596
1188,1,16303,,7794
1141,4,140204,,37818
308,7,40598,,
22,11,,61965,
482,2,141864,,
1515,1,,209611,
1259,2,77032,,34590
536,12,,,27656
59,11,143326,,
1256,2,172853,,12878
1445,12,,204901,
857,1,84959,,39581
754,1,,294957,
912,9,27676,,
31,2,179060,,38184
394,4,133898,,17327
1564,8,,277787,
1395,12,82897,,
1223,12,,251726,23204
319,7,196331,,
885,2,149312,,41502
1616,1,,,
1219,8,160072,,
968,1,17616,,31819
425,8,186562,,
240,1,59734,,
300,1,83423,,
1265,12,98192,,
333,8,75657,,
517,10,25806,,
241,10,145557,,
363,1,181418,,
1329,4,34686,,
1449,7,175265,,
510,9,,219438,5984
498,7,,,
968,12,89102,,26065
814,1,157043,,
1250,1,55197,,
648,7,115991,,33985
1180,7,105596,,
643,4,183331,,
934,4,,227715,
289,11,76432,,
318,11,23897,,
501,11,105618,,
1633,1,134328,,
242,4,31697,,11111
663,1,61971,,
1206,11,117439,,36459
1414,5,38606,,
145,7,115587,,
1421,8,139359,,
754,10,,60751,
1605,12,145561,,
90,2,69047,,15218
1495,12,83033,,
77,2,52161,,
623,1,51236,,12390
1359,2,33594,,31430
1455,7,146364,,
1065,5,32017,,
620,9,121242,,39847
763,7,91061,,
1120,7,141721,,27158
202,1,,,
1365,8,,77575,43841
685,1,87597,,
116,8,22443,,28859
2,2,75359,,
1380,3,,252607,
1546,1,,204693,9025
522,6,80248,,
1293,7,124420,,
1213,1,,267062,20128
961,1,41000,,
241,12,48967,,
134,2,28838,,
65,11,76736,,
54,6,19353,,
523,4,48849,,
389,8,20582,,41098
548,6,47874,,
90,9,108958,,33378
891,6,135101,,
213,9,127229,,15439
1337,2,157130,,
875,1,90175,,15285
426,1,,71088,
1400,2,,182904,33584
824,4,20137,,15291
11,4,70726,,34374
412,5,,293196,36179
1433,6,,147984,
460,6,153783,,35767
483,7,,,
1175,10,153733,,
937,8,,229203,
957,4,137901,,
36,1,174558,,20255
983,7,,216152,23293
935,2,174857,,
1496,10,29800,,
1123,2,53061,,31095
1125,4,,125925,19490
256,7,,233051,32308
839,1,27252,,
1363,3,108368,,32702
647,5,178413,,33981
849,2,40652,,16252
405,1,81359,,31842
1078,11,,242025,
918,5,,,8881
1585,1,40885,,20849
1154,11,49531,,
19,1,114416,,
1302,4,126106,,
42,11,196957,,25789
385,1,140342,,
701,2,66022,,
1567,11,,60815,14730
1582,11,,189667,
962,6,134746,,
1412,1,65879,,
1015,6,115988,,
651,8,,80412,36451
1605,8,79518,,
716,11,166360,,43275
765,3,55597,,10869
379,12,112207,,
1072,8,77282,,
223,8,196562,,
1630,8,82104,,
1111,6,53744,,13157
1625,8,,,44627
1196,1,,,
911,9,197931,,29897
999,2,140463,,
1568,3,155303,,33531
1181,4,20663,,
44,5,47322,,
545,4,186010,,
164,9,29700,,
141,7,195950,,
287,1,150944,,
1290,1,169482,,31989
1247,10,91191,,
154,11,44071,,29415
967,9,,,
1563,11,32355,,
1144,6,127924,,
448,1,37241,,25448
188,4,,183683,38745
1472,9,84308,,44712
936,11,28549,,
1131,5,113800,,
241,11,102503,,
447,1,16625,,18765
932,5,,155958,25888
701,1,79419,,
181,5,47090,,6126
1452,8,78122,,
331,1,142041,,
1382,5,,271284,
588,5,,238869,
962,11,197349,,
755,5,162786,,26866
1436,6,43754,,12574
273,9,52323,,33132
1602,2,28893,,
902,8,188642,,14674
543,6,150210,,
52,12,126940,,10854
871,1,34906,,9723
34,1,125902,,32037
838,1,108727,,
47,6,83436,,29351
1000,4,83378,,16607
805,1,194927,,41924
1245,5,92269,,
515,1,131169,,
1389,1,20619,,
1292,9,183642,,24427
558,11,199689,,
1299,2,,285082,
1235,1,83023,,
1119,6,145889,,
606,1,139167,,
46,7,186583,,
1460,6,115549,,
326,12,134690,,
1114,12,110506,,
1389,6,104531,,
500,8,,143535,
3,2,28155,,
35,6,162960,,9834
828,2,159603,,
1483,1,16480,,
1023,7,161003,,
361,5,174480,,
185,1,15865,,35210
210,3,58179,,7530
607,9,55199,,
1038,2,,,
812,3,53132,,
186,9,166708,,
421,11,181667,,
324,1,77345,,44252
1197,6,39670,,
874,10,160331,,
1165,1,184379,,38945
1293,9,116729,,
1568,2,84429,,14503
705,1,149393,,
1482,8,179327,,29580
127,9,171077,,26198
361,11,75402,,
1397,1,,56940,
160,6,,149858,15345
1608,9,153804,,16206
271,1,,,
1054,1,186563,,31646
1102,9,,,
846,7,36836,,
1164,1,90335,,13736
1012,6,173642,,
648,9,72430,,25125
607,7,162643,,
1577,5,156468,,
1014,1,,242790,
1399,1,39428,,
67,10,180824,,
633,7,112917,,14825
1411,1,,,
88,1,29442,,
556,6,196784,,
1386,10,62432,,
436,6,,,
1616,8,,,
1614,7,190499,,
1144,11,20202,,
169,9,134096,,
223,5,64659,,
1546,3,,118661,8155
735,7,51329,,
841,1,,298780,
463,10,25497,,
750,10,159562,,
1077,1,89139,,12372
28,1,29177,,19105
1019,5,164780,,
86,10,,108911,
56,11,,,30199
1145,1,150002,,
970,7,18520,,
18,4,176935,,31202
563,8,95025,,
308,1,35965,,
618,1,194969,,
634,1,54856,,
1606,6,42617,,
903,1,62387,,
1586,1,137589,,41355
1042,3,145138,,
550,8,,146742,
1308,5,30091,,
1225,11,,91970,43243
796,10,20226,,24083
58,1,166324,,
1450,6,,135548,
1306,7,,135181,42022
751,5,73516,,36054
932,10,,291015,21827
49,6,54041,,28925
82,12,,158249,39775
377,11,45628,,
208,5,119932,,
333,7,114766,,
573,7,,99414,6816
1081,7,93014,,
1034,3,,,39614
1031,6,99163,,
93,11,38760,,11828
1566,1,,,
279,1,160875,,37904
290,1,50456,,43786
315,3,66980,,
1480,7,159564,,
57,6,,216822,29508
262,1,159129,,
848,11,187331,,
864,3,29872,,27819
1342,10,,166541,
743,12,159256,,15019
1079,12,72842,,
991,1,,,32254
622,12,65424,,
1580,4,,185970,29559
165,8,,,
1626,7,,,12351
1,6,47883,,
588,11,,238514,
276,10,124946,,16278
1150,10,186036,,
205,6,36485,,
1474,9,45718,,30082
1220,9,54828,,32762
1539,11,33615,,
248,10,57773,,
625,3,,273454,
179,1,76366,,11336
1202,8,94409,,
14,1,190639,,
441,12,151584,,
816,9,181296,,
1231,11,172216,,
189,1,110150,,
886,12,55141,,12753
460,8,141156,,17299
1609,3,183939,,39703
431,6,29360,,
379,1,131270,,
1358,5,178672,,
1119,4,124260,,
988,3,,264319,
1126,9,96670,,20482
1272,1,133828,,38314
93,7,106953,,17768
1271,1,43324,,
1254,9,,112242,
168,4,195097,,
721,6,74301,,
993,1,81499,,
998,12,167014,,36271
1257,2,26346,,
251,6,70718,,8730
1401,10,,215743,24820
1228,3,121160,,
41,2,198034,,
1003,2,18096,,
84,11,,71323,6352
1283,8,,61486,33358
898,8,66110,,
558,3,141478,,
479,5,,155998,
523,1,94319,,
1537,2,168850,,34013
620,2,70948,,38047
344,3,38180,,
301,12,,84226,
543,8,99874,,
933,7,36941,,
1615,2,,88447,
978,10,110663,,10997
856,9,55829,,
1418,6,101343,,
319,5,50850,,
1180,1,87871,,
829,3,101731,,31526
889,1,71213,,
95,2,96045,,14830
731,4,,273404,35041
777,7,54066,,
934,1,,50714,
165,2,,,
305,11,122309,,
631,9,92264,,
349,4,,220609,16174
1328,3,139886,,
653,4,146776,,20776
125,5,,62568,
1102,1,,,
409,7,96162,,
1533,11,163505,,
871,4,55093,,6700
1400,12,,256811,34722
151,1,87113,,
118,1,136532,,
1293,6,187121,,
486,12,54289,,
583,3,134901,,
282,11,,221992,
1254,4,,207042,
834,1,96164,,
691,6,,85774,
1497,4,,230469,
366,5,,195068,
1317,10,18310,,
629,2,64718,,16588
777,3,127092,,
637,2,,164816,
1211,11,,,16172
1002,9,,141684,41182
313,4,27177,,
101,12,,49036,
1572,4,,,
242,9,192008,,38467
800,8,40494,,34783
227,1,,266539,
1537,1,54688,,33221
255,3,111523,,
891,3,190450,,
871,8,79847,,38001
1004,10,187670,,
1226,6,68788,,
1002,1,,272109,18855
1432,3,126373,,
1277,3,25632,,
651,6,,157448,21707
998,9,124381,,18694
1072,12,152986,,
1214,1,111035,,
1307,5,88490,,
438,10,148598,,
937,12,,185898,
1402,5,50288,,
1521,5,114383,,11066
1098,6,23303,,9263
1326,8,140335,,32654
1229,3,91831,,
1402,6,162903,,
203,6,114692,,
23,8,84147,,38683
417,6,66524,,36105
421,6,152509,,
1114,4,154631,,
1625,9,,,16449
1136,9,75512,,17563
796,4,76795,,25640
718,7,155503,,
1218,1,27931,,
1619,9,196556,,17025
1536,6,,132215,28888
1229,10,174125,,
1075,12,56220,,
771,12,121267,,
918,12,,,32102
299,10,121656,,
1386,2,133611,,
989,5,,,31257
936,9,86219,,
516,6,89400,,
1434,11,152807,,
1262,1,113866,,
647,2,123556,,40416
1373,7,35962,,10705
314,8,164241,,
191,6,,110816,
274,9,79915,,31390
234,1,162190,,
1116,4,187273,,
129,6,,111815,9351
517,8,133863,,
347,7,61303,,6788
63,4,,147451,
418,1,113688,,
273,6,134544,,44493
1337,1,108510,,
1068,11,75634,,6565
1088,12,93986,,7982
538,10,120044,,
672,12,27597,,
124,4,72690,,34448
756,5,91294,,
963,9,86086,,13726
236,2,121037,,19082
1572,1,,,
45,8,24638,,17680
712,1,173906,,
130,10,113483,,
680,10,,,
12,12,45842,,18724
839,2,165016,,
1619,5,72475,,14940
1276,3,64491,,
1143,1,198881,,43875
1389,12,126709,,
1069,10,,166707,17246
231,11,176568,,
1517,4,114290,,18162
1410,7,124606,,17977
1354,11,,116036,
970,4,93420,,
1273,5,,169003,
1192,3,51402,,
820,2,,218146,39383
287,12,176873,,
1046,9,86993,,
782,5,122257,,
753,12,17557,,36312
418,8,93228,,
1495,9,90900,,
982,7,188660,,
261,6,,,8175
1421,4,20199,,
1042,10,141260,,
1083,4,115006,,40866
135,11,72566,,
1088,2,65250,,43127
989,11,,,21904
192,8,67783,,8707
1613,7,71271,,38158
322,3,192199,,11275
1502,8,,,
1371,7,191452,,9696
1032,2,,231731,29921
1160,1,,95858,37701
73,10,126911,,
1517,1,59167,,44027
151,12,46972,,
830,8,130363,,
844,8,,95928,
1111,5,172459,,20995
1445,1,,246282,
1421,2,174898,,
320,11,104370,,19910
611,8,116592,,34221
665,9,177749,,
1073,4,96807,,
1086,7,,247231,
188,1,,288131,8340
1003,6,190822,,
933,9,48751,,
16,5,,159470,
443,12,111982,,
861,4,,129568,18381
1364,7,74882,,
1041,1,108115,,
946,3,44350,,
539,10,52842,,7108
933,10,145657,,
1064,11,147568,,
1333,1,,255916,
62,1,45300,,
1249,6,170358,,
848,8,23657,,
951,1,,90600,33099
1057,6,,279137,38989
577,1,95681,,
1443,12,,230859,34322
340,8,96950,,41061
1223,2,,290761,31501
1203,5,105953,,
1576,12,,76267,
479,4,,184341,
1114,10,91771,,
715,4,157432,,43208
550,7,,116823,
565,3,150103,,
464,12,128077,,18271
303,4,71880,,
392,7,185955,,
522,11,189128,,
1276,5,85446,,
881,1,193286,,41227
361,1,164288,,
245,12,,90908,
697,4,,270073,
393,11,,,
173,12,116437,,37063
352,12,134927,,
1530,8,,,
1013,12,,268989,43594
1155,2,40468,,
328,5,163540,,
669,12,36907,,17360
164,6,197739,,
1498,1,178231,,
1496,5,178769,,
646,12,124204,,
670,7,121670,,
972,12,107710,,
1442,4,17444,,
599,1,167535,,
7,7,117902,,
788,11,,172619,
1622,1,,159208,11313
210,12,150209,,36701
1516,1,171081,,28706
1175,1,74401,,
949,3,153227,,21398
155,3,148142,,
717,1,23777,,23953
460,1,144806,,37556
755,1,67236,,37068
1162,4,104940,,
1202,1,124004,,
364,2,91431,,39104
1012,3,53583,,
918,10,,,33234
889,10,59590,,
287,4,155637,,
1192,8,121248,,
86,7,,278806,
684,5,67701,,9047
